Importance,Feature,Iteration
2.068761720877765,Age,1
1.5111894551109961,Age,2
1.5401111943706915,Age,3
1.6955512534944712,Age,4
1.3115380020794023,Age,5
1.5716336038601997,Age,6
2.110486759730648,Age,7
1.9555611188940756,Age,8
1.8056939245485442,Age,9
1.9427292405071235,Age,10
1.8272709138183556,Age,11
1.7488221250162264,Age,12
1.8621656209685873,Age,13
1.6369647263380465,Age,14
1.5433120192689667,Age,15
1.5076028164972781,Age,16
1.7998352718329031,Age,17
1.6469673041452593,Age,18
1.5477988898853348,Age,19
1.9384995790343715,Age,20
2.1419948798233115,Age,21
1.5201917751374838,Age,22
1.7501081707342818,Age,23
1.67257390333166,Age,24
2.0431551216913517,Age,25
1.7554524051627034,Age,26
1.577506545972698,Age,27
2.0266080001188924,Age,28
1.6681727690964974,Age,29
1.735647301104453,Age,30
0.032093985364231324,leftBreastFlag,1
0.0037724007729858736,leftBreastFlag,2
-0.2454918381823092,leftBreastFlag,3
0.090251830614642,leftBreastFlag,4
-0.1686434618293176,leftBreastFlag,5
-0.0995828067690566,leftBreastFlag,6
-0.038709976113838696,leftBreastFlag,7
-0.044268551495267434,leftBreastFlag,8
-0.02156269987294172,leftBreastFlag,9
-0.13706389475230596,leftBreastFlag,10
-0.062258902151360804,leftBreastFlag,11
-0.010031156600927101,leftBreastFlag,12
-0.018204691609088077,leftBreastFlag,13
-0.05581438416413923,leftBreastFlag,14
-0.03369439781338138,leftBreastFlag,15
-0.07880602372382028,leftBreastFlag,16
0.03297992797001171,leftBreastFlag,17
-0.17130128964665875,leftBreastFlag,18
-0.07217574357735573,leftBreastFlag,19
0.011488675081418168,leftBreastFlag,20
-0.1894488236682683,leftBreastFlag,21
0.025535152202090038,leftBreastFlag,22
-0.04326829371456734,leftBreastFlag,23
-0.10122608740880312,leftBreastFlag,24
0.0029721945484357643,leftBreastFlag,25
-0.05537141286125526,leftBreastFlag,26
-0.08432173091465257,leftBreastFlag,27
-0.14086487431904357,leftBreastFlag,28
-0.025578020392686487,leftBreastFlag,29
-0.1881627779502004,leftBreastFlag,30
0.06964652033180393,ShiftDays,1
-0.23713254101488035,ShiftDays,2
-0.06535970127159837,ShiftDays,3
0.08557919783899365,ShiftDays,4
0.0476980067434568,ShiftDays,5
-0.05015578300466042,ShiftDays,6
-0.09406709957823679,ShiftDays,7
0.09110919442667065,ShiftDays,8
-0.05552859622678388,ShiftDays,9
0.08050646195107025,ShiftDays,10
0.16115581787077454,ShiftDays,11
0.0649310193655716,ShiftDays,12
-0.11320060198370169,ShiftDays,13
0.14726652411564375,ShiftDays,14
0.11314344439624807,ShiftDays,15
0.1743020629887964,ShiftDays,16
0.10465554265699248,ShiftDays,17
-0.010374102125748528,ShiftDays,18
0.09223805677920993,ShiftDays,19
0.2115688100190386,ShiftDays,20
-0.03929584138540656,ShiftDays,21
0.10722763409314073,ShiftDays,22
0.007687695514668106,ShiftDays,23
0.0855363296483723,ShiftDays,24
0.206624678702917,ShiftDays,25
0.17058681980326418,ShiftDays,26
-0.11582985100731602,ShiftDays,27
-0.019376422152223804,ShiftDays,28
0.06367355244121804,ShiftDays,29
-0.10939962241697655,ShiftDays,30
0.37749728644353653,maxOriginalImage,1
0.42262320175085755,maxOriginalImage,2
0.24657783234422714,maxOriginalImage,3
0.48786858784749876,maxOriginalImage,4
0.3271128730890117,maxOriginalImage,5
0.29507604531225895,maxOriginalImage,6
0.2760139898910924,maxOriginalImage,7
0.18990608436802187,maxOriginalImage,8
0.26618288484632774,maxOriginalImage,9
0.2586380833003186,maxOriginalImage,10
0.32033969897385084,maxOriginalImage,11
0.3421738973872658,maxOriginalImage,12
0.42636702373011653,maxOriginalImage,13
0.1883628295063504,maxOriginalImage,14
0.18527631978298245,maxOriginalImage,15
0.46323366764805873,maxOriginalImage,16
0.2504216801015612,maxOriginalImage,17
0.35414841196217683,maxOriginalImage,18
0.419336640471352,maxOriginalImage,19
0.5173904817755943,maxOriginalImage,20
0.1902918980834522,maxOriginalImage,21
0.38171265851943126,maxOriginalImage,22
0.4003174532408068,maxOriginalImage,23
0.19587905225862023,maxOriginalImage,24
0.2869882466852784,maxOriginalImage,25
0.3433313385335319,maxOriginalImage,26
0.18646233972297532,maxOriginalImage,27
0.11821618028417147,maxOriginalImage,28
0.20886811401110097,maxOriginalImage,29
0.5141896568772693,maxOriginalImage,30
-0.12228865839139479,origPixelSpacing,1
0.03020778497772593,origPixelSpacing,2
-0.07476212441036116,origPixelSpacing,3
0.010345523332009257,origPixelSpacing,4
0.10754200082421043,origPixelSpacing,5
-0.11917356987428758,origPixelSpacing,6
-0.14692357859083482,origPixelSpacing,7
0.1740019856545839,origPixelSpacing,8
0.03626648924951717,origPixelSpacing,9
-0.06032983357425896,origPixelSpacing,10
-0.032151142951709864,origPixelSpacing,11
-0.04732648242488364,origPixelSpacing,12
-0.18936308728706291,origPixelSpacing,13
0.05800066188485714,origPixelSpacing,14
-0.0003429455248089698,origPixelSpacing,15
-0.04969852230489436,origPixelSpacing,16
-0.015318233441882585,origPixelSpacing,17
-0.15371104210285289,origPixelSpacing,18
-0.07976341331393638,origPixelSpacing,19
-0.10474127903818536,origPixelSpacing,20
0.008259271389366335,origPixelSpacing,21
-0.011974514574886122,origPixelSpacing,22
-0.025392258233406136,origPixelSpacing,23
-0.1156012206574517,origPixelSpacing,24
-0.09656774403003686,origPixelSpacing,25
-0.1531823344187511,origPixelSpacing,26
-0.15006724590165638,origPixelSpacing,27
0.05215629856608553,origPixelSpacing,28
-0.01817611281537372,origPixelSpacing,29
-0.15289654648140824,origPixelSpacing,30
0.8272703422424912,origCropSizeY_mm,1
1.041025429982248,origCropSizeY_mm,2
0.9240667166223925,origCropSizeY_mm,3
0.7208143355801988,origCropSizeY_mm,4
0.518305003175114,origCropSizeY_mm,5
0.5370241130714467,origCropSizeY_mm,6
0.9478442730097915,origCropSizeY_mm,7
0.8886575911849289,origCropSizeY_mm,8
0.4457720246760672,origCropSizeY_mm,9
0.8633653587295977,origCropSizeY_mm,10
0.785459567008415,origCropSizeY_mm,11
0.7256155729276489,origCropSizeY_mm,12
0.6149299047926045,origCropSizeY_mm,13
0.846503870426031,origCropSizeY_mm,14
0.8293565941851343,origCropSizeY_mm,15
0.890115109665395,origCropSizeY_mm,16
1.1945935781164168,origCropSizeY_mm,17
0.37552534967583817,origCropSizeY_mm,18
0.6950648424251016,origCropSizeY_mm,19
0.9446434481114911,origCropSizeY_mm,20
0.8314714249215163,origCropSizeY_mm,21
1.076034452307424,origCropSizeY_mm,22
0.6698011887634971,origCropSizeY_mm,23
0.5070449584435726,origCropSizeY_mm,24
0.8070079774844872,origCropSizeY_mm,25
0.8436174122588131,origCropSizeY_mm,26
0.5846649622274125,origCropSizeY_mm,27
0.6250753765684761,origCropSizeY_mm,28
0.5788920458929642,origCropSizeY_mm,29
0.7283305583324562,origCropSizeY_mm,30
0.18361874974635384,origCropSizeX_mm,1
-0.03255124606398492,origCropSizeX_mm,2
0.2848162583614551,origCropSizeX_mm,3
0.2625247992482865,origCropSizeX_mm,4
0.09376702224402426,origCropSizeX_mm,5
0.16569984607460864,origCropSizeX_mm,6
0.10492704119747819,origCropSizeX_mm,7
0.13229123619858263,origCropSizeX_mm,8
0.07118977519350037,origCropSizeX_mm,9
0.29807681865439667,origCropSizeX_mm,10
0.10244068614253529,origCropSizeX_mm,11
0.20278083094558294,origCropSizeX_mm,12
0.13266276051714332,origCropSizeX_mm,13
0.23700393644304116,origCropSizeX_mm,14
0.10638455967793188,origCropSizeX_mm,15
0.057500532994494646,origCropSizeX_mm,16
-0.005972967890573425,origCropSizeX_mm,17
0.20082318357474183,origCropSizeX_mm,18
0.03297992796999925,origCropSizeX_mm,19
0.08630795707923296,origCropSizeX_mm,20
0.3097083877044862,origCropSizeX_mm,21
0.009573895901173503,origCropSizeX_mm,22
0.20805361838965633,origCropSizeX_mm,23
0.10062593274037808,origCropSizeX_mm,24
0.1774743090933697,origCropSizeX_mm,25
0.17233012622111057,origCropSizeX_mm,26
0.28650240719178555,origCropSizeX_mm,27
0.08413596875537223,origCropSizeX_mm,28
0.09122350960162774,origCropSizeX_mm,29
0.07633395806575949,origCropSizeX_mm,30
0.05269929564704448,FlipAngle,1
0.08316428976839894,FlipAngle,2
0.0470978520750193,FlipAngle,3
0.046583433787787155,FlipAngle,4
0.04669774896274424,FlipAngle,5
0.05775774213811071,FlipAngle,6
0.056557432801260625,FlipAngle,7
0.03566633458107967,FlipAngle,8
0.06796037150144853,FlipAngle,9
0.03855279274829762,FlipAngle,10
0.03623791045577789,FlipAngle,11
0.03583780734349038,FlipAngle,12
0.07456207285421117,FlipAngle,13
0.05944389096847858,FlipAngle,14
0.06012978201810897,FlipAngle,15
0.048012373474563864,FlipAngle,16
0.07524796390384157,FlipAngle,17
0.1169158451692464,FlipAngle,18
