epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,1.1425245340800345,0.6167749162565179,0.27590269694588737,0.46655837951461876,1.0789807797334352,0.7045788090067435,0.4006625950289424,0.8084979054458408
2,1.0935527802242642,0.7029576986879807,0.37721783619258953,0.5741448499904452,1.0506221604589785,0.7286752771745342,0.40548819062819524,0.8120885697187313
3,1.0715283292350863,0.7309265079539171,0.4200404137703859,0.6214408561054844,1.0557058027302841,0.7436895645216597,0.4638465983241319,0.419509275882705
4,1.0402814375609302,0.7616892134282045,0.4889804848886697,0.6680680298108159,0.9896497104354849,0.7531237855754944,0.46547167460024474,0.5499700777977259
5,1.008087632033284,0.7907576271689905,0.5491170356347794,0.6848843875406077,0.9674553132071458,0.7814653103211796,0.5534569552956837,0.5302214242968283
6,0.9828526376425001,0.809390894695713,0.5961099847524425,0.7186126504872922,0.9636243892101239,0.7897382558006629,0.5722441653519811,0.5601436265709157
7,0.9714699644398193,0.8181952137115385,0.6103729362395071,0.7277852092489967,0.8922100375327858,0.7927831752200251,0.5766190865740711,0.720526630760024
8,0.9462208936484622,0.8346136489308711,0.6540617569616227,0.7488056564112364,0.8955860195011525,0.8058623842724882,0.6180616359799517,0.6032315978456014
9,0.9419903659510744,0.8401374626981624,0.6570432805038007,0.7563539078922225,0.8370132218000776,0.8210058292376273,0.6308264050227492,0.7947336923997607
10,0.9328441521462167,0.8468749285952574,0.66612648276826,0.7604624498375693,1.0365596476748344,0.8085632643730712,0.6105433511897691,0.5535607420706165
11,0.9180297326704477,0.8545599925510573,0.6898357108460424,0.762373399579591,0.8369654456275013,0.8269493656417877,0.651079124047051,0.812687013764213
12,0.9130648659083394,0.8593153770398906,0.6904233368491376,0.7731702656220142,0.8232745770420734,0.8430517773459824,0.6812109318645866,0.8432076600837821
13,0.9079757929531675,0.8631434424169305,0.6956658388101604,0.7830116567934263,0.7893619366137301,0.8423888444393645,0.6801457385475266,0.765409934171155
14,0.89585239491316,0.8696458724631323,0.7164791266063468,0.7812918020256068,0.8437615148611657,0.8443502114527375,0.6724664818728852,0.6959904248952723
15,0.879702394012737,0.880268184788619,0.734588974495663,0.7958150200649723,0.757526199094269,0.8606080694936564,0.7004531968776385,0.7989228007181328
16,0.8798594665235756,0.8799456638470361,0.7334648723217654,0.7962927575004778,0.7433067974681843,0.8680077723168363,0.7224637967067032,0.7941352483542788
17,0.8771230302894865,0.8803367333415592,0.7386324359012004,0.7991591821135104,0.7377647888439277,0.8668830723511259,0.7028809023606696,0.829443447037702
18,0.8800382973153209,0.8790993748371971,0.7330550087440667,0.8015478692910376,0.8777252005503464,0.8461629900560063,0.6701495872223041,0.6726511071214841
19,0.8622590088147222,0.8887937968129492,0.7557894234572159,0.8046053888782725,0.9317493358819803,0.8528803291804776,0.6851853136371975,0.6193895870736086
20,0.8568056552332217,0.8928401322073091,0.7562824829187067,0.8093827632333269,0.8472954631921847,0.8639935992684878,0.7079496209896051,0.6600837821663674
21,0.8398039613880848,0.8999932022685002,0.7806193515732018,0.8202751767628511,0.7170319480142645,0.8775974397073951,0.7362299203339604,0.7893476959904249
22,0.8392855095494302,0.9012166796908918,0.7799795119183579,0.8218039365564686,0.6948859661657035,0.8842770602354556,0.7505178226645489,0.8300418910831837
23,0.838264382229511,0.9021922684087138,0.7802326706005613,0.8228549589145805,0.7109687709294701,0.8806126414447365,0.7380513179347755,0.8108916816277678
24,0.8351378234011845,0.9039398566421263,0.7822641100685992,0.8248614561437034,0.7366092483273956,0.872924905703509,0.7276338059445848,0.8108916816277678
25,0.8407637648798416,0.8997867568765624,0.7751043754085738,0.8207529141983566,0.7102232681356598,0.8740541776202994,0.736106297244974,0.8252543387193297
26,0.8230138334379629,0.9092116973535689,0.7966952006127043,0.8309764953181731,0.6823784025181988,0.8801371585324036,0.746861514967182,0.8444045481747456
27,0.8217090247307501,0.9095090552638434,0.7922902394651361,0.8355627746990254,0.7723243480524854,0.8728037489998857,0.7415062948942526,0.7241172950329144
28,0.8191111772574773,0.9096116495980769,0.7992641390911276,0.8360405121345309,0.7081585466897395,0.874888558692422,0.7339591942707927,0.8354278874925194
29,0.823515026195314,0.9089032288653386,0.7903853866694938,0.8339384674183069,0.6701929582085601,0.8835638358669563,0.7581531476185862,0.8456014362657092
30,0.8172039467177199,0.910837754714998,0.7990953674995324,0.8441620485381235,0.7135121855173618,0.8818676420162305,0.7604876193517053,0.8162776780371035
31,0.8137126494702339,0.912596967640513,0.8046421693376488,0.8400535065927766,0.7727273499302205,0.8810081152131672,0.7489600735965644,0.7259126271693597
32,0.8097691884943844,0.9139778211156963,0.8070717943053984,0.8451175234091344,0.6759172002403127,0.8831889358783861,0.758457610767134,0.8503889886295631
33,0.8066975225255067,0.9160218532786774,0.8108815951418745,0.8460729982801453,0.6909707307387511,0.882068807863756,0.7555838627029223,0.8515858767205267
34,0.8031055443878727,0.9177032921585027,0.8138017374001726,0.8460729982801453,0.6877673347148975,0.8785026860212597,0.7548161115821634,0.8497905445840814
35,0.8052208927970258,0.9164760731275962,0.8068898062196095,0.8548633670934455,0.7014144313042925,0.8849148474111327,0.7531579070495416,0.8120885697187313
36,0.7992329392450479,0.917755331934943,0.8184150567565347,0.8502770877125931,0.6652213872228105,0.8928334666819064,0.7627300304075008,0.8599640933572711
37,0.79374344189901,0.9212624758366351,0.8240534741112431,0.8583030766290847,0.6852567114564632,0.886039547376843,0.7623902672590736,0.8617594254937163
