Importance,Feature,Iteration
2.837724241777837,Age,1
2.0678900541600496,Age,2
1.836311864098706,Age,3
2.9483857368787025,Age,4
2.4075107190504177,Age,5
2.4320916442524743,Age,6
2.915853087477802,Age,7
2.9759327814247576,Age,8
2.9309676743478685,Age,9
2.6059882794109637,Age,10
2.540071010159248,Age,11
2.577431492109478,Age,12
2.6454944647164176,Age,13
2.4661704622476037,Age,14
2.1970740179305004,Age,15
2.755367098289606,Age,16
2.5735818478544674,Age,17
2.209490698375947,Age,18
2.068899796915466,Age,19
2.695318958803734,Age,20
3.3509891061378436,Age,21
2.4921082292772208,Age,22
2.5522194776853016,Age,23
2.2412502634797398,Age,24
3.636556979152602,Age,25
2.429693505208372,Age,26
1.8873985366302897,Age,27
2.890925063203574,Age,28
2.4669277693141423,Age,29
2.14756506845423,Age,30
0.1220526555603264,leftBreastFlag,1
0.21655826657459762,leftBreastFlag,2
-0.12000161558842327,leftBreastFlag,3
0.12505032936545055,leftBreastFlag,4
0.05670336660854897,leftBreastFlag,5
0.11211300031174683,leftBreastFlag,6
0.1781880418689648,leftBreastFlag,7
0.16786973308711606,leftBreastFlag,8
0.3158917101381707,leftBreastFlag,9
-0.09709307682501471,leftBreastFlag,10
0.044681116926927215,leftBreastFlag,11
0.14858995735097894,leftBreastFlag,12
0.1336331427864423,leftBreastFlag,13
0.12612318104307624,leftBreastFlag,14
0.11151346555071098,leftBreastFlag,15
0.15177695792273077,leftBreastFlag,16
0.25347698606932184,leftBreastFlag,17
-0.08535481729338264,leftBreastFlag,18
0.10435060287951634,leftBreastFlag,19
0.13164521173673463,leftBreastFlag,20
0.0958624528418453,leftBreastFlag,21
0.05903839673044178,leftBreastFlag,22
0.12157933864370907,leftBreastFlag,23
0.04042126467753596,leftBreastFlag,24
0.26628809727859337,leftBreastFlag,25
0.2669822954229637,leftBreastFlag,26
0.1629787916155775,leftBreastFlag,27
0.14792731366773387,leftBreastFlag,28
0.14893705642315033,leftBreastFlag,29
-0.009182348182041332,leftBreastFlag,30
-0.01937443911947161,ShiftDays,1
-0.09669864606120358,ShiftDays,2
-0.11122947540077634,ShiftDays,3
0.062256951763305104,ShiftDays,4
0.05843886196940595,ShiftDays,5
0.08573347082662426,ShiftDays,6
-0.021125711710884346,ShiftDays,7
0.029156322062493748,ShiftDays,8
0.22813875380071352,ShiftDays,9
0.180097086765935,ShiftDays,10
0.13363314278645605,ShiftDays,11
0.06415021942971955,ShiftDays,12
0.09027731322599143,ShiftDays,13
0.32781929643648544,ShiftDays,14
0.19705760961072133,ShiftDays,15
0.23523850754972644,ShiftDays,16
0.032090886945408646,ShiftDays,17
0.11656217932777951,ShiftDays,18
0.11873943714412864,ShiftDays,19
0.09908100787472238,ShiftDays,20
0.1101250692620254,ShiftDays,21
-0.02994518359018478,ShiftDays,22
-0.009781882943063406,ShiftDays,23
0.3051474161313856,ShiftDays,24
0.23175173959741543,ShiftDays,25
-0.07352189437841608,ShiftDays,26
-0.0307340451178483,ShiftDays,27
-0.04895674640691548,ShiftDays,28
0.12653338903745687,ShiftDays,29
0.05941705026372468,ShiftDays,30
3.0198092595934933,maxOriginalImage,1
2.0801016306083127,maxOriginalImage,2
2.5386510594094784,maxOriginalImage,3
2.491398253902322,maxOriginalImage,4
3.1038861212120255,maxOriginalImage,5
2.2836279047459134,maxOriginalImage,6
2.911940334300568,maxOriginalImage,7
2.170315834912095,maxOriginalImage,8
2.181864767677127,maxOriginalImage,9
2.4432934779453066,maxOriginalImage,10
2.6124411667072596,maxOriginalImage,11
2.649060118821466,maxOriginalImage,12
2.4575876488265984,maxOriginalImage,13
2.2817661915406244,maxOriginalImage,14
2.5616227070950823,maxOriginalImage,15
3.0318788409667685,maxOriginalImage,16
