epoch,loss,auc_roc,auc_pr,acc,val_loss,val_auc_roc,val_auc_pr,val_acc
1,1.1125381443483662,0.7010652445126884,0.3850899853830735,0.4859545193961399,0.9817883932683227,0.7616001828780432,0.5078917284936422,0.587672052663076
2,1.0335485005319494,0.7835785943433734,0.5127394998352439,0.6501051022358112,0.9081342002005722,0.7888490113155789,0.552268374303279,0.6941950927588271
3,0.9996156595916428,0.8028333973119828,0.5464696947636134,0.7153640359258552,0.8847643648486591,0.8013555834952567,0.5735063837735389,0.7151406343506882
4,0.9883708505541194,0.8085477189326533,0.5623638262481452,0.7274030193005924,0.8578379714938426,0.8059755400617215,0.5801463919607938,0.7785757031717534
5,0.9771249786791008,0.8168836799605161,0.5751163479497025,0.7519587234855724,0.8499558161718984,0.8062178534689679,0.5890835917056818,0.7911430281268701
6,0.9743738289251169,0.8182399416423319,0.5808301280706795,0.75262755589528,0.8489283545155643,0.8065813235798377,0.588937447113704,0.7893476959904249
7,0.9679603846378863,0.8237867191748582,0.5886278256199017,0.756927192814829,0.8469865708776322,0.8101177277403131,0.5932029806221044,0.7881508078994613
8,0.9636933720182466,0.8259070687267792,0.5982136623497388,0.7641888018345118,0.8503155893797221,0.8110435478340381,0.5931886826540119,0.772591262716936
9,0.9614858293815801,0.8273420755587848,0.6018252113002368,0.7647620867571183,0.8604493155442334,0.8109018173505543,0.5915603577619059,0.7420706163973668
10,0.9589411587736106,0.8297538707082894,0.6044062092091709,0.7550162430728072,0.8378446020814632,0.8130323465538918,0.5933979480166103,0.7983243566726511
11,0.9573368806582028,0.8308978318092706,0.6086166642952474,0.7645709917829161,0.8392756774281399,0.8124219910846955,0.5963219831886335,0.7947336923997607
12,0.9545630176732992,0.8324547979417155,0.6146780306825854,0.7720236957768011,0.8366146852412244,0.8108149502800319,0.5965018748503659,0.7965290245362059
13,0.9514229116762388,0.835478074745342,0.6179114912163601,0.7696350085992738,0.8495550149932442,0.8101062978626128,0.5950800574910965,0.7713943746259725
14,0.9482859023415106,0.838813733017096,0.6195773728941727,0.770877125931588,0.8341835610956435,0.8112241399017031,0.5978810627551325,0.8073010173548774
15,0.9489341690643737,0.8370322703737723,0.6223147480876444,0.7756545002866425,0.84369711930134,0.8106389301634473,0.5969412852813591,0.7803710353081987
16,0.9473855710954482,0.8386878321748628,0.6237296112316646,0.7738390980317218,0.8495159503016766,0.8135421190993256,0.5976251330030462,0.7636146020347098
17,0.9482016538812807,0.8363392159416515,0.6251694903646516,0.7686795337282629,0.8432154949377711,0.8106492170533773,0.595531201088405,0.7791741472172352
18,0.9439835696928409,0.8407402900974761,0.6276658562505542,0.7757500477737436,0.841202293592324,0.8111281289290204,0.5976680669852694,0.7815679233991621
19,0.9412268958081712,0.843727978777368,0.6311243482832998,0.7771832600802598,0.8460155238226315,0.8131832209395359,0.5969302017713355,0.7695990424895273
20,0.9408145848410366,0.8442051623915219,0.6325326002075256,0.7779476399770686,0.8378075828529418,0.812147674019888,0.5978727486611537,0.7899461400359067
21,0.9374213106609908,0.8465082223989251,0.636556515617961,0.775081215364036,0.8417701926650863,0.8110938392959196,0.599373978837357,0.7791741472172352
22,0.9371184588344289,0.8463934892584418,0.6369189359489122,0.7798585897190904,0.8359656342484151,0.8119305063435821,0.5980121949020014,0.7953321364452424
23,0.9367214897588769,0.846370611178898,0.6415657319409794,0.7731702656220142,0.8378597330290853,0.8093885015430335,0.5965000204807921,0.7881508078994613
24,0.9356865149348,0.8484825064092897,0.6367073961507954,0.7837760366902351,0.8638780868959456,0.8094616527603155,0.5946571960901998,0.718132854578097
25,0.9348427094398118,0.8481680399226773,0.6420345974678976,0.7737435505446206,0.8536319789738087,0.8129911989941707,0.5991025417996102,0.7498503889886295
26,0.9342523622576602,0.8481869193366328,0.6397750538427589,0.7768010701318555,0.8385012505084437,0.8099919990856099,0.5988144718543961,0.7857570317175344
27,0.9312683067562337,0.850755747796164,0.6459035337875295,0.7774699025415631,0.8368698841508172,0.8113933020916675,0.5986537561080081,0.7893476959904249
28,0.9301916130090703,0.8518175934431024,0.6473875778679318,0.7748901203898337,0.8343296108097462,0.8110572636872785,0.5973744066522989,0.7953321364452424
29,0.9316694353316133,0.8503282333209946,0.646145008968647,0.7796674947448882,0.8315099765268505,0.8101703051777347,0.5993534117573617,0.7977259126271694
30,0.92677821781356,0.8547917152218918,0.6508109716793006,0.7814828969998089,0.836571054783929,0.8097611155560636,0.5973526353584312,0.7881508078994613
31,0.9268218451787336,0.8542414131512684,0.6516203860928074,0.7824383718708198,0.8520729800029688,0.8090204594810837,0.5949936112390313,0.7642130460801915
32,0.9245904521187656,0.8557076095748619,0.6567614628545217,0.778425377412574,0.833556087911664,0.8097268259229626,0.5962708312635314,0.7917414721723519
33,0.9229186903831268,0.8570152303459874,0.6568877471625675,0.7809096120772023,0.8441597500794809,0.8088661561321294,0.5950217631224182,0.7719928186714542
34,0.922194049528309,0.8574826172294503,0.657600978714296,0.7822472768966177,0.835815228793808,0.8079803406103554,0.5979072000119162,0.7881508078994613
35,0.9207010515192237,0.8595173667758873,0.6595196794581359,0.7854003439709536,0.8356604128095078,0.807818036347011,0.597064600165754,0.7911430281268701
36,0.9182945191689347,0.8602198466340375,0.6628694595620004,0.7831072042805274,0.8350039470131564,0.8086044119327923,0.5981377067746353,0.7887492519449432
37,0.9192590390931984,0.8596190185675181,0.6634924303834585,0.7859736288935602,0.8382106029937397,0.8076122985484055,0.5960590886030906,0.7845601436265709
