Importance,Feature,Iteration
0.8574736446731435,Age,1
0.37308680582290715,Age,2
0.7110019953128438,Age,3
0.8166175813469565,Age,4
0.6648788241397572,Age,5
0.4595191821304154,Age,6
1.0161344753075616,Age,7
0.8406793417842156,Age,8
0.7348478906744139,Age,9
0.6138627112509552,Age,10
0.5958883459482561,Age,11
0.6250013491567259,Age,12
0.7901381320619492,Age,13
0.44432228080162556,Age,14
0.5688332564613866,Age,15
0.6179497566840836,Age,16
0.7111315143582797,Age,17
0.6506461201490745,Age,18
0.41543953367386804,Age,19
0.5832818255277833,Age,20
1.0159330012369212,Age,21
0.7692423927348567,Age,22
0.6325566268059881,Age,23
0.4564970710707081,Age,24
0.7107141752119378,Age,25
0.44096917662585433,Age,26
0.7065120017384469,Age,27
0.835685663033186,Age,28
0.6135317181349038,Age,29
0.5005911105322913,Age,30
-0.007512104634129427,leftBreastFlag,1
0.006029831114378881,leftBreastFlag,2
-0.07962543092065183,leftBreastFlag,3
-0.003094066084924473,leftBreastFlag,4
0.023299037169829933,leftBreastFlag,5
-0.05557806148842867,leftBreastFlag,6
-0.025040348780389604,leftBreastFlag,7
-0.0533618467113208,leftBreastFlag,8
0.009109506194254918,leftBreastFlag,9
-0.05472899219072149,leftBreastFlag,10
-0.11450922715265369,leftBreastFlag,11
0.00636082423043018,leftBreastFlag,12
-0.018650742539875094,leftBreastFlag,13
-0.010721298759416296,leftBreastFlag,14
0.048843071126826974,leftBreastFlag,15
-0.05333306470123647,leftBreastFlag,16
0.04938992931859227,leftBreastFlag,17
0.06766650572727076,leftBreastFlag,18
-0.004533166589542257,leftBreastFlag,19
-0.03118530793511833,leftBreastFlag,20
0.016089143641654934,leftBreastFlag,21
-0.01211722624890132,leftBreastFlag,22
0.006533516290986322,leftBreastFlag,23
-0.04861281504607709,leftBreastFlag,24
-0.007483322624020008,leftBreastFlag,25
-0.015743759520542654,leftBreastFlag,26
-0.021831154655077636,leftBreastFlag,27
-0.011642323082378203,leftBreastFlag,28
-0.0675657686919317,leftBreastFlag,29
-0.04615195318318344,leftBreastFlag,30
0.07709261403252854,ShiftDays,1
0.036567543822417954,ShiftDays,2
0.07312069663977493,ShiftDays,3
0.023486120235421966,ShiftDays,4
0.10560119502906432,ShiftDays,5
0.047749354743321475,ShiftDays,6
-0.0419353887046315,ShiftDays,7
0.08677776042862052,ShiftDays,8
0.16568364109696346,ShiftDays,9
-0.013585108763603429,ShiftDays,10
0.12297113811984188,ShiftDays,11
0.09226073335123412,ShiftDays,12
0.119056784747282,ShiftDays,13
0.08047450021838409,ShiftDays,14
